class,smooth,raw,prob,gombit,normit,base2,base10,smooth_obj,raw_obj,prob_obj,normit_obj,gombit_obj,base2_obj,base10_obj,instance_freq,img_freq,names
11,5.22211491541592,4.22268299647774,4.20791522681789,4.2153081985905,2.17917699938349,6.09204381826458,1.83388792419697,7.07181970596356,6.07232270249992,6.07001422875123,2.83298031739894,6.07116868766937,8.7605098495741,2.63717624203155,1983,1734,stop sign
12,6.12126237030364,5.12267135100596,5.11669343869484,5.11968388382645,2.51449911169205,7.39045255420026,2.22474790034576,7.50539808901082,6.50617483369039,6.50467953197472,2.96893185295986,6.5054272759962,9.38642616772171,2.82559582856954,1285,705,parking meter
13,4.05554775777607,3.0557188208969,3.00748519867676,3.03169894467057,1.67376028609265,4.40847038925903,1.32708182216343,5.47058063494262,4.47068111366443,4.4591756574326,2.2754484263663,4.46493390118923,6.44982947207962,1.94159213801355,9838,5570,bench
14,4.5981664735593,3.59846689989198,3.57071984153727,3.58462544964412,1.92100331827535,5.19149035127725,1.56279431793459,5.37674064250522,4.3768320166157,4.3641873064954,2.23939535503061,4.37051632357559,6.31443384517551,1.90083399303368,10806,3237,bird
15,4.35848349468571,3.35871808360532,3.32331905071731,3.34107077876317,1.81476760720408,4.84560592296149,1.45867272997846,6.19479807551016,5.19500662227453,5.18944701666823,2.53990181701093,5.19222810735499,7.49481029134078,2.25616270950468,4768,4114,cat
16,4.29470467881905,3.29492424901194,3.25714880373734,3.27609598334535,1.78573789731915,4.75357087415432,1.4309674196351,6.05055159633567,5.05073197117117,5.04430672973058,2.48902800797166,5.04752107060561,7.28666596766798,2.19350502465197,5508,4385,dog
17,4.6940327066355,3.69436421526423,3.66918664737685,3.68180184409455,1.96230906351546,5.32984093259936,1.60444199283009,5.87168490251085,4.87183554237902,4.86414676592915,2.42475817686703,4.867993617373,7.0285729770168,2.11581129279534,6587,2941,horse
18,5.3478545934104,4.34849994788917,4.33548948973846,4.34200177180476,2.22842217088847,6.27355931012561,1.88852953192484,5.50459083826895,4.50469483348027,4.49357628700274,2.28840532600632,4.49914071115602,6.49890089698012,1.95636410883857,9509,1529,sheep
19,5.09559652915776,4.09609607620603,4.07931861814433,4.08771907561013,2.12874938435882,5.90941749614718,1.77891192324184,5.65916221646169,4.65928379070907,4.6497653893144,2.34658213954364,4.65452836500743,6.72192561895031,2.02350123992621,8147,1968,cow
20,5.01044908560619,4.01090715834465,3.99262408405104,4.00177954910928,2.0942927962,5.78651586680987,1.74191484629533,6.04964440222464,5.04982461243003,5.04339351954932,2.48870540354431,5.04661078927889,7.28535692571183,2.19311096375759,5513,2143,elephant
21,5.81290319882659,4.81393586935635,4.80578690272069,4.80986415293938,2.40366347981267,6.9450414058779,2.09066578429759,7.49842401967474,6.49919535595887,6.49768957342396,2.96678646146764,6.4984425591656,9.37635690981044,2.82256467990418,1294,960,bear
22,5.12236086475124,4.12287419528742,4.10654368381445,4.11472005142645,2.13949274166862,5.94805015575024,1.79054151259464,6.08847346194268,5.08866085388258,5.0824754920119,2.50248331603178,5.08556976705929,7.3413857786622,2.2099773291183,5303,1916,zebra
23,4.83820613281742,3.83859037470088,3.81683143602845,3.82773063242901,2.02324551440247,5.53791529758506,1.66707861801953,6.12143926807285,5.12163298007775,5.11564883863302,2.51413294551077,5.11864240143615,7.38895450161153,2.22429694158147,5131,2546,giraffe
24,4.06311536145895,3.06328778837072,3.01542671134817,3.0394526931498,1.67738314539086,4.41939010109816,1.33036898297102,5.5912008045814,4.59131431411669,4.58112303591352,2.32114450348967,4.586223002601,6.62386639213866,1.99398247130429,8720,5528,backpack
25,4.39460815501382,3.39485168541346,3.36073059678494,3.37783965099061,1.83106355018794,4.89773569109954,1.47436535385502,5.32051827419868,4.32060458899393,4.30722361675464,2.21757696384098,4.31392156329724,6.23331481418365,1.87641473148593,11431,3968,umbrella
26,3.85004224225933,2.85017995505723,2.79060624887506,2.82054097369577,1.57322026343235,4.11194048680219,1.23781742691261,5.24287387538567,4.24295365476387,4.22848437826739,2.1871688612978,4.23572773983217,6.12128819644954,1.84269135923518,12354,6841,handbag
27,4.43523070692302,3.43548468569748,3.40274474031548,3.41915937527519,1.84926477384699,4.95635671910573,1.49201204166154,5.88559418292785,4.8857469491782,4.87816479758877,2.42980473742156,4.88195826875828,7.04864289461777,2.12185294000374,6496,3810,tie
28,4.89640437206041,3.8968121511783,3.87629659639673,3.8865719107255,2.04745852496337,5.62191156578079,1.69236401427028,5.93351509287032,4.93367541575015,4.92644937909121,2.44712764076239,4.93006457306997,7.11778905565854,2.14266800856202,6192,2402,suitcase
29,4.99150650026719,3.99195581695343,3.97331967028063,3.98265221465693,2.08656874685369,5.75917486056657,1.73368438330446,6.76999914338276,5.77037076717809,5.76724729318316,2.73504356550259,5.76880943668435,8.32488528989847,2.50604018272128,2682,2184,frisbee
30,4.64721917991073,3.64753513793817,3.62113441319977,3.63436381699473,1.94221940671566,5.26228085497163,1.58410438295476,5.8627690897668,4.86291838210517,4.85516046917576,2.42151893107942,4.85904193335642,7.01570823411091,2.11193861929417,6646,3082,skis
31,5.26932131998572,4.26991727823459,4.25583565614053,4.26288472934394,2.1977646804179,6.16018848231515,1.85440151212063,6.7688816167252,5.76925282407675,5.7661258507948,2.73467555888348,5.7676897448508,8.32327243893017,2.50555466620128,2685,1654,snowboard
32,4.32314919103167,3.32337534115966,3.28667918892134,3.30508337306042,1.79872609703704,4.79461712370372,1.44332357195898,5.90879491216208,4.90895129171324,4.90154369914307,2.43820384328499,4.90524978177827,7.08211968452017,2.1319304579229,6347,4262,sports ball
33,4.95687295112082,3.95730668154026,3.93800711062641,3.94767241576173,2.07239034476327,5.70918672473489,1.7186364549918,5.55119097328176,4.55129998511998,4.54069042616209,2.30606586680359,4.54599989575085,6.56613791813061,1.97660446902396,9076,2261,kite
34,4.85403550963859,3.85442601836221,3.83301261920999,3.8437384242824,2.0298526422603,5.56076130216456,1.67395595067903,6.57000634510957,5.57031038604675,5.5664938142973,2.66852125470721,5.56840270709778,8.03625917016194,2.41915506314848,3276,2506,baseball bat
35,4.80613848262507,3.80651032908835,3.78403401476988,3.79529322120322,2.00981089111034,5.49163357486837,1.6531464312308,6.43571235045007,5.43597803222603,5.43161154128682,2.62307755771892,5.43379558118309,7.84245854947383,2.36081526314306,3747,2629,baseball glove
36,4.52695247578902,3.52723166743294,3.49740509070732,3.5123554464903,1.88989273021318,5.08871963467202,1.53185724956053,6.04421845293864,5.04439768159991,5.03793147935939,2.48677519614667,5.04116632263619,7.27752751951597,2.1907540776444,5543,3476,skateboard
37,4.52408056112123,3.52435892773826,3.49444524755109,3.50943937187759,1.88863026782954,5.08457514736073,1.53060963456319,5.94422948108273,4.94439154362699,4.93724280464143,2.45098737355956,4.94081930348619,7.13324916020399,2.1473219637663,6126,3486,surfboard
38,4.55081856780408,3.55110470802406,3.52199209364548,3.53658371493185,1.90036032582448,5.12316115194376,1.54222517935551,6.18561412450527,5.18582075392514,5.18020969902737,2.53668734869997,5.18301653830662,7.48155788462687,2.25217333756905,4812,3394,tennis racket
39,3.63282089887815,2.63293007120087,2.55834921275708,2.59587139392239,1.46202210453864,3.79851515672892,1.14346700115967,4.56469038095896,3.56473029858521,3.53601738168381,1.90631586970503,3.55040819121505,5.14281872387552,1.54814269814889,24342,8501,bottle
40,4.8433232469158,3.84370950381655,3.82206287858514,3.83290571514061,2.02538314427273,5.54530063977392,1.66930182754661,5.68830137186301,4.68842657541052,4.67918283125356,2.35742233656569,4.68380826361309,6.76396976991678,2.03615779050935,7913,2533,wine glass
41,3.55500639244715,2.55510675831734,2.47423944434656,2.51494556658728,1.42082418999474,3.68623984916631,1.10966876581093,4.72917097044159,3.72921823263053,3.70491365475878,1.97716307478358,3.71709055659456,5.38012465060878,1.61957890024444,20650,9189,cup
42,4.50448601116309,3.50475881158089,3.47424391063611,3.48954015910659,1.88000026134911,5.05629815697964,1.52209741227138,6.05582961386632,5.0560109494813,5.04961964571826,2.49090424032408,5.05281699963102,7.29428192349697,2.19579765580215,5479,3555,fork
43,4.308247867572,3.30847054730522,3.27121295706912,3.28989959018605,1.79193029462635,4.77311405152444,1.43685050223409,5.70653585859914,4.70666338765802,4.69758745246211,2.36418582534644,4.70212885224935,6.79027992850787,2.04407793743594,7770,4326,knife
44,4.51182445786954,3.51209933014296,3.48181101859302,3.49699339831813,1.88323569573832,5.0668882867067,1.52528535897719,5.93788438536229,4.93804541542127,4.93085100125998,2.44870221526522,4.9344503649895,7.12409363251274,2.14456587530511,6165,3529,spoon
45,3.81133883060314,2.81147099393471,2.7494716502829,2.78063148025421,1.55379638704935,4.05609526055277,1.2210063386969,5.09255779151401,4.09262627388328,4.07579000657526,2.12735426846975,4.08421995103041,5.90441162954329,1.77740500723978,14358,7111,bowl
46,4.96486234115429,3.96529961929802,3.94615517399314,3.95574266784002,2.07566755650725,5.72071809640015,1.7221077437542,5.50996804559521,4.51007260781589,4.4990140248312,2.29044862942117,4.50454841182909,6.50665938534514,1.95869964655745,9458,2243,banana
47,5.31127688727047,4.31189875162343,4.29839998502343,4.30515696067439,2.21418386061493,6.22075494578244,1.87263383435558,5.99015123166837,4.99032096523148,4.98349423558697,2.46747529839533,4.9869095422517,7.19951130898368,2.16726885812614,5851,1586,apple
48,4.91192156325855,3.91233585289219,3.89213952919782,3.90225468646602,2.05387813495526,5.64430753325966,1.69910587226333,6.28125679257167,5.28148427960679,5.27638642981469,2.57000326611916,5.27893643754687,7.61957117872174,2.293719478892,4373,2365,sandwich
49,5.24249407775257,4.2430740321463,4.22860650997841,4.23584899226371,2.18721625370326,6.1214618643022,1.84274363846812,5.90063672446062,4.90079182388025,4.89332331484528,2.43525306286238,4.89705989347115,7.07034806074122,2.12838684606777,6399,1699,orange
50,5.11043435573951,4.11094149857558,4.09441332382565,4.10268879369806,2.13471046317819,5.93083491337963,1.78535920825846,5.76782824932799,4.76796391352181,4.75942993798077,2.38680876837248,4.76369996028022,6.87871789317546,2.07070041755636,7308,1939,broccoli
51,5.25195041299461,4.25253595962742,4.23820566343663,4.24537936807525,2.19093892513443,6.13511254015647,1.84685290136134,5.69603909043351,4.69616527562336,4.68699311775402,2.36029426438305,4.69158270203957,6.77513435433677,2.03951866530889,7852,1683,carrot
52,5.57181547210971,4.57262501408669,4.56224047534005,4.5674372379862,2.31411141973018,6.59690343166769,1.98586581143063,6.68569362295427,5.68603510193698,5.68263631328249,2.70716565698106,5.6843361889332,8.20321464388505,2.46941366867942,2918,1222,hot dog
53,4.62033756125824,3.62064491337727,3.59351478767047,3.60711051882413,1.93061388793391,5.22348646134924,1.57242610681083,5.99529086950281,4.99546148374798,4.98866987612322,2.46931515777665,4.99206760184878,7.20692750955503,2.16950135695198,5821,3166,pizza
54,5.35178387155029,4.35243180092307,4.33947272979373,4.34595926274546,2.22994750925998,6.27923177499913,1.89023711400112,5.78563533176611,4.78577345444323,4.77739075285785,2.39334949400321,4.7815850315524,6.90441162954329,2.07843500290376,7179,1523,donut
55,4.69948602621681,3.69981939415227,3.67478052973443,3.68732608450401,1.9646394364201,5.33771109212829,1.60681114691896,5.90785017897892,4.90800640975318,4.90059178854953,2.43786228364172,4.90430138984229,7.08075650800216,2.1315201009016,6353,2925,cake
56,3.22563219272498,2.22570201969669,2.11142231293424,2.16910626757969,1.23727997477178,3.21100926631297,0.966610105515196,4.10648428733209,3.10650910430519,3.06071966252538,1.69796774688393,3.08370174326304,4.48174527925751,1.34913976198196,38491,12774,chair
57,4.28607806459471,3.2862956759499,3.24818655488213,3.26730162739653,1.78178553944107,4.74112247458777,1.42722007796756,6.00253103214196,5.00270289470193,4.99596045583255,2.47190508651398,4.99933356945327,7.21737465722734,2.17264626177047,5779,4423,sofa
58,4.27954430247518,3.27976044142279,3.24139659811069,3.26063984336769,1.77878788519413,4.73169412414446,1.42438186167449,5.59902863320164,4.59914304394676,4.58903164217011,2.32408559695219,4.59409160307339,6.63516086184097,1.9973824454698,8652,4452,pottedplant
59,4.46939469135182,3.4696577920252,3.43803535053544,3.45388823671669,1.86447262806021,5.00565809013651,1.50685323316917,6.32351824663762,5.32375560501883,5.31886927338449,2.58461333391439,5.32131343404466,7.6805558102655,2.31207768226119,4192,3682,bed
60,3.30180763254621,2.30188365586433,2.19644517236773,2.24962759095085,1.28115184464844,3.32091613501883,0.999695369725164,5.00231904457671,4.00238151728395,3.98394044943268,2.0908206580943,3.99317515302581,5.77421596673119,1.73821220742798,15714,11837,diningtable
61,4.56296866541373,3.563258407352,3.53450258308455,3.54891494904042,1.90567318439218,5.14069523369264,1.54750346390834,6.33190052539042,5.33213989176708,5.32729445627232,2.58750316977394,5.32971815227971,7.69265177917857,2.31571893173064,4157,3353,toilet
62,4.25536120495255,3.25557197710653,3.21625014882919,3.23597548739522,1.76766144432908,4.69679754662866,1.41387694509622,5.99804284922381,4.99821393688772,4.99144106050246,2.47029984428258,4.99482941002164,7.21089846005002,2.17069673216226,5805,4561,tvmonitor
63,4.51324189255051,3.51351716676216,3.48327242421027,3.49843290954785,1.88386016006613,5.06893379256601,1.52590111759715,6.15331368771371,5.15351371192904,5.14771788548088,2.52535562752062,5.15061719835474,7.4349486753533,2.23814256750353,4970,3524,laptop
64,5.14344757121037,4.14397202425206,4.12798518196651,4.13598925221687,2.14792817184468,5.97848788897104,1.79970418329412,6.94024334817484,5.94068417434365,5.93805047971291,2.79063603079109,5.93936761604274,8.57059559781312,2.58000635564742,2262,1876,mouse
65,4.64916723247484,3.64948382319269,3.623135178171,3.63633842764343,1.94305845002743,5.26509221352459,1.58495068620777,6.01576703171425,5.01594119986317,5.00928772688246,2.47663420438112,5.01261630790141,7.23647349443324,2.17839558465175,5703,3076,remote
66,5.02359481481869,4.02405906233785,4.00601703902769,4.01505161375453,2.09964045918008,5.80549005347911,1.7476266456261,6.70751267034891,5.7078617089296,5.70453642270685,2.71440334745348,5.70619952654852,8.23470378155274,2.47889284365499,2855,2115,keyboard
67,4.20367342459701,3.2038731521534,3.16242113513869,3.18321873719236,1.74371234173324,4.62221190824901,1.3914244306982,5.89518287377816,4.89533712322074,4.88782761062959,2.43327883454378,4.89158471662319,7.06247859115021,2.12601789967091,6434,4803,cell phone
68,5.33615855364721,4.33679630324516,4.32363166818472,4.33022120685519,2.22387700599872,6.25667452003738,1.8834467036378,7.24171874275896,6.24231513003289,6.2403678888135,2.88689073798695,6.2413416674127,9.00575708176459,2.71100301527446,1673,1547,microwave
69,4.71602672034957,3.71636579026668,3.6917429208629,3.70407961734123,1.97169531505021,5.36158249574713,1.61399715544684,6.55246203545866,5.55276076770897,5.54887649399754,2.66262054141425,5.55081925950244,8.01094042281653,2.41153336074487,3334,2877,oven
70,7.29638254500779,6.30097180027777,6.2991355943607,6.30005383780474,2.90529746053052,9.09038076904194,2.73647728348863,9.2441549945361,8.24858842881529,8.24832676698206,3.4685602379776,8.24845760075144,11.9001976205859,3.58231643812549,225,217,toaster
71,4.23003791693067,3.2302432066741,3.18989206033901,3.21013547487817,1.75595695569485,4.66025585513399,1.40287679986403,6.03220575805741,5.03238283250297,5.02583821490798,2.48249755120487,5.02911230837231,7.26019375630679,2.1855360949807,5610,4678,sink
72,4.91403707071137,3.91445225579857,3.89429906362515,3.90439258261936,2.05475217231681,5.64736085723722,1.70002501436706,6.78691366053112,5.78729164466643,5.78422065850745,2.74060860972882,5.78575654454341,8.34929695593839,2.51338882644342,2637,2360,refrigerator
73,4.09920839719628,3.09938747251963,3.05326310699272,3.07641393223031,1.69458797695287,4.47147093639745,1.34604687659534,4.54948390762751,3.54952320527865,3.52036383441713,1.89966818980426,3.53497894746808,5.12087952577581,1.54153834144006,24715,5332,book
74,4.23410688067719,3.23431304200143,3.1941291219547,3.21428836221567,1.75784135792702,4.66612738637796,1.40464430688894,5.91084490105314,4.91100160392113,4.90360923988736,2.43894486649444,4.90730769886346,7.08507765977476,2.13282089720096,6334,4659,clock
75,4.49385654045338,3.49412636670471,3.46328020426082,3.47874293040748,1.87530666190208,5.04095878148426,1.51747980013251,5.86774610026664,4.86789614334505,4.86017690056106,2.42332757815072,4.86403900473137,7.02288962556641,2.11410043353288,6613,3593,vase
76,5.82652310554186,4.82757006063215,4.81953188929377,4.82355366713644,2.40864411341212,6.96471138601803,2.09658703833389,7.36354218795235,6.36421601675191,6.3624924412278,2.92503434890581,6.36335435276952,9.1816228865141,2.76394389771565,1481,947,scissors
77,5.0118493192072,4.01230804580233,3.99405080117927,4.00319331207644,2.09486290109041,5.78853692019791,1.74252324398797,6.18956957881405,5.18977703186008,5.18418819402654,2.53807219835763,5.18698391440581,7.48726558718398,2.25389152724507,4793,2140,teddy bear
78,7.4338535356364,6.43912213875859,6.4375230521814,6.43832270201489,2.94826621457531,9.28968957726535,2.79647521316392,9.37138516908389,8.37642180032518,8.37619154152723,3.50275974961447,8.3763066731351,12.0846221917233,3.63783376597533,198,189,hair drier
79,5.76515415916557,4.76613826109967,4.75758862440192,4.76186648842759,2.38613747438802,6.87608403347964,2.06990754678354,7.08654452138892,6.08705499841698,6.08478032292186,2.83768638152569,6.08591787625893,8.78176405983456,2.6435743968541,1954,1007,toothbrush
